sender,receiver,cargo_name,no_wagons,mdn_speed,lat_sender,lon_sender,lat_receiver,lon_receiver
станція ІНГУЛЕЦЬ,станція ЧОП (ЕКСП. ЖСР),КОНЦЕНТРАТ ЖЕЛЕЗОРУДНЫЙ (ГЕМАТИТ),537,145,47.679167,33.142778,48.432477,22.2055633
станція ІНГУЛЕЦЬ,станція ЧОРНОМОРСЬК-ПОРТ,КОНЦЕНТРАТ ЖЕЛЕЗОРУДНЫЙ (ГЕМАТИТ),217,551,47.679167,33.142778,46.32227,30.62932
станція ІНГУЛЕЦЬ,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),КОНЦЕНТРАТ ЖЕЛЕЗОРУДНЫЙ (ГЕМАТИТ),996,483,47.679167,33.142778,46.82775,30.76
станція КАЙДАЦЬКА,станція МАРГАНЕЦЬ,"РУДЫ ЧЕРНЫХ МЕТАЛЛОВ,НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ",1393,61,48.481699,34.986165,47.6544363,34.6198112
станція КОЛОСІВКА,станція БЕРЕГОВА  (ЕКСП.),КОНЦЕНТРАТ ЖЕЛЕЗОРУДНЫЙ (ГЕМАТИТ),1386,56,47.3051901,31.0188647,46.632276,31.044189
станція КРИВИЙ РІГ,станція ІЗОВ (ЕКСП. ПКП),КОНЦЕНТРАТ ЖЕЛЕЗОРУДНЫЙ (ГЕМАТИТ),6598,256,47.880874,33.384342,50.828474,24.059367
станція КРИВИЙ РІГ,станція МОСТИСЬКА II (ЕКСП. ПКП),КОНЦЕНТРАТ ЖЕЛЕЗОРУДНЫЙ (ГЕМАТИТ),840,357,47.880874,33.384342,49.8166178,23.0325224
станція КРИВИЙ РІГ,станція САРТАНА,АГЛОМЕРАТ ЖЕЛЕЗОРУДНЫЙ,498,145,47.880874,33.384342,47.1536589,37.5740898
станція КРИВИЙ РІГ,станція ЧОП (ЕКСП. ЧД),КОНЦЕНТРАТ ЖЕЛЕЗОРУДНЫЙ (ГЕМАТИТ),7109,252,47.880874,33.384342,48.432477,22.2055633
станція КРИВИЙ РІГ,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),КОНЦЕНТРАТ ЖЕЛЕЗОРУДНЫЙ (ГЕМАТИТ),6671,438,47.880874,33.384342,46.82775,30.76
станція КРИВИЙ РІГ,станція ЧОРНОМОРСЬКА (ДЛЯ ТІС),КОНЦЕНТРАТ ЖЕЛЕЗОРУДНЫЙ (ГЕМАТИТ),224,438,47.880874,33.384342,46.82775,30.76
станція КРИВИЙ РІГ-ГОЛОВНИЙ,станція ГУМЕНЦІ,"РУДА ЖЕЛЕЗНАЯ,НЕ ПОИМЕНОВАННАЯ В АЛФАВИТЕ",407,147,47.9123,33.451545,48.770473,26.606396
станція КРИВИЙ РІГ-ГОЛОВНИЙ,станція МОСТИСЬКА II (ЕКСП. ЧД),КОНЦЕНТРАТ ЖЕЛЕЗОРУДНЫЙ (ГЕМАТИТ),231,152,47.9123,33.451545,49.8166178,23.0325224
станція КРИВИЙ РІГ-ГОЛОВНИЙ,станція РЕНІ (ЕКСП. ЧФР),КОНЦЕНТРАТ ЖЕЛЕЗОРУДНЫЙ (ГЕМАТИТ),228,59.5,47.9123,33.451545,45.457968,28.265869
станція КРИВИЙ РІГ-ГОЛОВНИЙ,станція УЖГОРОД (ЕКСП. ЖСР),РУДА ЖЕЛЕЗНАЯ АГЛОМЕРАЦИОННАЯ (АГЛОРУДА),412,128,47.9123,33.451545,48.6094982,22.3006874
станція КРИВИЙ РІГ-ГОЛОВНИЙ,станція ЧОП (ЕКСП. ЧД),КОНЦЕНТРАТ ЖЕЛЕЗОРУДНЫЙ (ГЕМАТИТ),348,157,47.9123,33.451545,48.432477,22.2055633
станція КРИВИЙ РІГ-ГОЛОВНИЙ,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),КОНЦЕНТРАТ ЖЕЛЕЗОРУДНЫЙ (ГЕМАТИТ),588,108,47.9123,33.451545,46.82775,30.76
станція КРИВИЙ РІГ-ГОЛОВНИЙ,станція ЯМНИЦЯ,"РУДА ЖЕЛЕЗНАЯ,НЕ ПОИМЕНОВАННАЯ В АЛФАВИТЕ",708,138,47.9123,33.451545,48.9855201,24.7113369
станція КУЧУРГАН,станція РЕНІ (ЕКСП. ЧФР),КОНЦЕНТРАТ ЖЕЛЕЗОРУДНЫЙ (ГЕМАТИТ),370,14,46.7537896,30.0024469,45.457968,28.265869
станція КУЧУРГАН,станція РЕНІ (ЕКСП. ЧФР),ОКАТЫШИ ЖЕЛЕЗОРУДНЫЕ,304,17,46.7537896,30.0024469,45.457968,28.265869
станція МАРГАНЕЦЬ,станція ГОРЯЇНОВЕ,ОКАТЫШИ ЖЕЛЕЗОРУДНЫЕ,688,92,47.6544363,34.6198112,48.478592,34.983294
станція МАРГАНЕЦЬ,станція ГОРЯЇНОВЕ,"РУДА ЖЕЛЕЗНАЯ,НЕ ПОИМЕНОВАННАЯ В АЛФАВИТЕ",683,61,47.6544363,34.6198112,48.478592,34.983294
станція МАРГАНЕЦЬ,станція МУШКЕТОВЕ,БРИКЕТЫ ЖЕЛЕЗНОЙ РУДЫ,273,52,47.6544363,34.6198112,47.977417,37.8578791
