sender,receiver,no_wagons,lat_sender,lon_sender,lat_receiver,lon_receiver,gzk_cluster,dnb_cluster,port_cluster,quarry
станція РОЖНЯТІВ,станція ЖОВТНЕВА,10507,48.998146,24.162632,46.834899,31.967136,no,no,no,no
станція РОКУВАТА,станція ІЗОВ (ЕКСП. ПКП),33727,48.04391,33.478736,50.828474,24.059367,yes,no,no,no
станція РОКУВАТА,станція УЖГОРОД (ЕКСП. ЖСР),29203,48.04391,33.478736,48.6094982,22.3006874,yes,no,no,no
станція РОКУВАТА,станція ЧОП (ЕКСП. ЧД),31575,48.04391,33.478736,48.432477,22.2055633,yes,no,no,no
станція РОСІЯ,станція СВІТЛОДАРСЬКЕ,11696,48.159167,37.360833,48.460125,38.170116,no,yes,no,no
станція РОЯ,станція МИКОЛАЇВКА-ДОНЕЦЬКА,10883,47.989332,37.306483,48.37885,36.3491541,no,yes,no,no
станція РОЯ,станція РОДИНСЬКА,14340,47.989332,37.306483,48.362572,37.198645,no,yes,no,no
станція РЯДОВА,станція БЕРЕГОВА  (ЕКСП.),20505,48.229267,33.534595,46.632276,31.044189,yes,no,yes,no
станція РЯДОВА,станція ЗАПОРІЖЖЯ-ЛІВЕ,24190,48.229267,33.534595,47.86944,35.1917334,yes,no,no,no
станція РЯДОВА,станція КАМ’ЯНСЬКЕ,11262,48.229267,33.534595,48.4974778,34.6042228,yes,no,no,no
станція РЯДОВА,станція МАРІУПОЛЬ-СОРТУВАЛЬНИЙ,51309,48.229267,33.534595,47.20838,37.5633199,yes,no,no,no
станція РЯДОВА,станція САРТАНА,40072,48.229267,33.534595,47.1536589,37.5740898,yes,no,no,no
станція РЯДОВА,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),15545,48.229267,33.534595,46.82775,30.76,yes,no,yes,no
станція РЯСНА II,станція КЛЕСІВ,8235,49.8636374,23.9381062,51.3118938,26.8919075,no,no,no,yes
