sender,receiver,cargo,tot_no_wagons,median_speed_km_day,avrg_money_UAH,avrg_tkm
станція БАЛТА,станція ЧОРНОМОРСЬК-ПОРТ,ПШЕНИЦА,201,82,11638.41144,17225.29035
станція БАЛТА,станція ЧОРНОМОРСЬК-ПОРТ-ЕКСПОРТ,ЗЕРНО КУКУРУЗЫ,338,62,9391.616864,16855.71621
станція БАЛТА,станція ЧОРНОМОРСЬК-ПОРТ-ЕКСПОРТ,ПШЕНИЦА,253,62,11317.31146,17252.70324
станція БАЛТА,станція ЧОРНОМОРСЬКА-ЕКСП.(ДЛЯ ОПЗ),ЗЕРНО КУКУРУЗЫ,290,91,10382.64069,18440.29334
станція БАЛТА,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),ЗЕРНО КУКУРУЗЫ,829,92,10875.31255,18853.44357
станція БАЛТА,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),ПШЕНИЦА,216,92,7889.225,19158.70463
станція БАЛТА,станція КСЕНІЄВЕ (ЕКСП.),ЗЕРНО КУКУРУЗЫ,1346,56,10030.14733,15149.46062
станція БАЛТА,станція КСЕНІЄВЕ (ЕКСП.),ЯЧМЕНЬ,276,56,7496.851087,13807.49185
станція БАЛТА,станція КСЕНІЄВЕ (ЕКСП.),ПШЕНИЦА,957,56,8275.675967,15392.12069
станція БАЛТА,станція ОДЕСА-ПОРТ  (ЕКСП.),ЗЕРНО КУКУРУЗЫ,1010,56,9604.458812,15427.17847
станція БАЛТА,станція ОДЕСА-ПОРТ  (ЕКСП.),ПШЕНИЦА,513,56,9304.324366,15575.93466
станція БАХМАЧ-ГОМЕЛЬСЬКИЙ,станція ОДЕСА-ПОРТ  (ЕКСП.),ЗЕРНО КУКУРУЗЫ,204,288,21049.97549,55200.66029
станція БАХМАЧ-ПАСАЖИРСЬКИЙ,станція ЧОРНОМОРСЬК-ПОРТ-ЕКСПОРТ,ЗЕРНО КУКУРУЗЫ,215,149,30917.01767,58338.16814
станція БАХМАЧ-ПАСАЖИРСЬКИЙ,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),ЗЕРНО КУКУРУЗЫ,395,309,19400.55316,58274.62291
станція БАХМАЧ-ПАСАЖИРСЬКИЙ,станція МИКОЛАЇВ-ВАНТАЖНИЙ  (ЕКСП.),ЗЕРНО КУКУРУЗЫ,338,268,25899.13047,52298.00154
станція БАХМАЧ-ПАСАЖИРСЬКИЙ,станція ОДЕСА-ПОРТ  (ЕКСП.),ЗЕРНО КУКУРУЗЫ,394,144,27112.25761,55862.7
станція БАХМУТ,станція МИКОЛАЇВ-ВАНТАЖНИЙ  (ЕКСП.),ПШЕНИЦА,204,147,15536.31765,50743.19077
станція БАТЬОВО,станція ОДЕСА-ПОРТ  (ЕКСП.),ЗЕРНО КУКУРУЗЫ,206,250,22778.27816,66648.07864
станція БУРЛУК,станція ЖОВТНЕВА  (ЕКСП.),ПШЕНИЦА,290,130,26408.60897,54098.685
станція БУРЛУК,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),ПШЕНИЦА,227,308,20468.69824,63909.66079
